volume_usd,volume,underlying_price,underlying_index,quote_currency,price_change,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price
0.0,0.0,1554.2,SYN.ETH-3NOV23,ETH,,0.0,,0.356945,,,0.0,ETH-3NOV23-1000-C,,1554.62,1697373301900,,ETH,
0.0,0.0,1553.98,ETH-27OCT23,ETH,,15800.0,,5.5e-05,,0.0001,0.0,ETH-27OCT23-2400-C,,1554.62,1697373301900,,ETH,0.0001
0.0,0.0,1573.94,ETH-29MAR24,ETH,,707.0,0.82855,0.79432,,0.7525,0.0,ETH-29MAR24-2800-P,,1554.62,1697373301900,0.0001,ETH,1.657
0.0,0.0,1573.94,ETH-29MAR24,ETH,,596.0,,0.87316,,0.872,0.0,ETH-29MAR24-200-C,,1554.62,1697373301900,0.0001,ETH,
25.96,16.0,1554.5973357272503,SYN.ETH-17OCT23,ETH,-15.3846,19.0,0.00095,0.00098,0.0008,0.0011,0.0,ETH-17OCT23-1500-P,0.0013,1554.62,1697373301900,0.0008,ETH,0.0011
0.0,0.0,1554.2,SYN.ETH-3NOV23,ETH,,1319.0,0.0022,0.002181,,0.002,0.0,ETH-3NOV23-1800-C,,1554.62,1697373301900,0.002,ETH,0.0024
0.0,0.0,1604.26,ETH-27SEP24,ETH,,0.0,,0.627275,,,0.0,ETH-27SEP24-2500-P,,1554.62,1697373301900,,ETH,
0.0,0.0,1573.94,ETH-29MAR24,ETH,,226.0,0.64455,0.428729,,0.401,0.0,ETH-29MAR24-2200-P,,1554.62,1697373301900,0.0001,ETH,1.289
886.45,91.0,1558.96,ETH-29DEC23,ETH,25.0,34925.0,0.0065,0.006483,0.006,0.0075,0.0,ETH-29DEC23-2200-C,0.0075,1554.62,1697373301900,0.006,ETH,0.007
0.0,0.0,1589.12,ETH-28JUN24,ETH,,407.0,0.67105,0.447109,,0.426,0.0,ETH-28JUN24-2200-P,,1554.62,1697373301900,0.0001,ETH,1.342
0.0,0.0,1554.626447636334,SYN.ETH-16OCT23,ETH,,0.0,0.09975,0.099462,,,0.0,ETH-16OCT23-1400-C,,1554.62,1697373301900,0.097,ETH,0.1025
48.15,1.0,1554.5973357272503,SYN.ETH-17OCT23,ETH,0.0,1.0,0.02975,0.030243,0.031,0.031,0.0,ETH-17OCT23-1600-P,0.031,1554.62,1697373301900,0.026,ETH,0.0335
1400.28,118.0,1558.96,ETH-29DEC23,ETH,0.0,36139.0,0.008,0.007984,0.0075,0.0075,0.0,ETH-29DEC23-2100-C,0.0085,1554.62,1697373301900,0.0075,ETH,0.0085
0.0,0.0,1604.23,ETH-27SEP24,ETH,,309.0,0.26125,0.26099,,0.263,0.0,ETH-27SEP24-1800-P,,1554.62,1697373301900,0.256,ETH,0.2665
144.34,48.0,1553.98,ETH-27OCT23,ETH,5.0,19074.0,0.0018,0.001785,0.0019,0.0021,0.0,ETH-27OCT23-1750-C,0.0021,1554.62,1697373301900,0.0016,ETH,0.002
0.0,0.0,1589.09,ETH-28JUN24,ETH,,120.0,0.4873,0.510089,,0.5455,0.0,ETH-28JUN24-800-C,,1554.62,1697373301900,0.0001,ETH,0.9745
0.0,0.0,1573.94,ETH-29MAR24,ETH,,475.0,0.89005,0.919253,,0.8335,0.0,ETH-29MAR24-3000-P,,1554.62,1697373301900,0.0001,ETH,1.78
0.0,0.0,1573.94,ETH-29MAR24,ETH,,511.0,0.46355,0.380619,,0.3755,0.0,ETH-29MAR24-1000-C,,1554.62,1697373301900,0.0001,ETH,0.927
0.0,0.0,1604.26,ETH-27SEP24,ETH,,438.0,0.038,0.03792,,0.036,0.0,ETH-27SEP24-3500-C,,1554.62,1697373301900,0.035,ETH,0.041
0.0,0.0,1604.23,ETH-27SEP24,ETH,,159.0,0.03025,0.030203,,0.033,0.0,ETH-27SEP24-4000-C,,1554.62,1697373301900,0.0275,ETH,0.033
0.0,0.0,1554.2,SYN.ETH-3NOV23,ETH,,0.0,0.198,0.198107,,,0.0,ETH-3NOV23-1250-C,,1554.62,1697373301900,0.1945,ETH,0.2015
